Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 1.14 (s),   Velocity: 3.43 (m/s),   Accel:   3.00 (m/s/s),   X:  2.23 (m),   Y:  3.09 (m),   Rot: -0.7166 (rads),   Rot:  -41.06 (deg),   Curve:   -0.48 (rads/m)
Time: 1.16 (s),   Velocity: 3.49 (m/s),   Accel:   3.00 (m/s/s),   X:  2.29 (m),   Y:  3.05 (m),   Rot: -0.7492 (rads),   Rot:  -42.92 (deg),   Curve:   -0.45 (rads/m)
Time: 1.18 (s),   Velocity: 3.55 (m/s),   Accel:   3.00 (m/s/s),   X:  2.34 (m),   Y:  3.00 (m),   Rot: -0.7789 (rads),   Rot:  -44.63 (deg),   Curve:   -0.38 (rads/m)
Time: 1.20 (s),   Velocity: 3.61 (m/s),   Accel:   3.00 (m/s/s),   X:  2.39 (m),   Y:  2.95 (m),   Rot: -0.8045 (rads),   Rot:  -46.10 (deg),   Curve:   -0.32 (rads/m)
Time: 1.23 (s),   Velocity: 3.68 (m/s),   Accel:   3.00 (m/s/s),   X:  2.44 (m),   Y:  2.89 (m),   Rot: -0.8266 (rads),   Rot:  -47.36 (deg),   Curve:   -0.27 (rads/m)
Time: 1.25 (s),   Velocity: 3.74 (m/s),   Accel:   0.70 (m/s/s),   X:  2.49 (m),   Y:  2.83 (m),   Rot: -0.8454 (rads),   Rot:  -48.44 (deg),   Curve:   -0.22 (rads/m)
Time: 1.27 (s),   Velocity: 3.75 (m/s),   Accel:  -3.00 (m/s/s),   X:  2.55 (m),   Y:  2.77 (m),   Rot: -0.8614 (rads),   Rot:  -49.35 (deg),   Curve:   -0.18 (rads/m)
Time: 1.29 (s),   Velocity: 3.69 (m/s),   Accel:  -3.00 (m/s/s),   X:  2.60 (m),   Y:  2.71 (m),   Rot: -0.8748 (rads),   Rot:  -50.12 (deg),   Curve:   -0.15 (rads/m)
Time: 1.31 (s),   Velocity: 3.62 (m/s),   Accel:  -3.00 (m/s/s),   X:  2.65 (m),   Y:  2.65 (m),   Rot: -0.8857 (rads),   Rot:  -50.75 (deg),   Curve:   -0.12 (rads/m)
Time: 1.33 (s),   Velocity: 3.56 (m/s),   Accel:  -3.00 (m/s/s),   X:  2.70 (m),   Y:  2.59 (m),   Rot: -0.8945 (rads),   Rot:  -51.25 (deg),   Curve:   -0.09 (rads/m)
Time: 1.36 (s),   Velocity: 3.49 (m/s),   Accel:  -3.00 (m/s/s),   X:  2.75 (m),   Y:  2.52 (m),   Rot: -0.9011 (rads),   Rot:  -51.63 (deg),   Curve:   -0.07 (rads/m)
Time: 1.38 (s),   Velocity: 3.41 (m/s),   Accel:  -3.00 (m/s/s),   X:  2.80 (m),   Y:  2.46 (m),   Rot: -0.9057 (rads),   Rot:  -51.89 (deg),   Curve:   -0.04 (rads/m)
Time: 1.41 (s),   Velocity: 3.34 (m/s),   Accel:  -3.00 (m/s/s),   X:  2.85 (m),   Y:  2.39 (m),   Rot: -0.9083 (rads),   Rot:  -52.04 (deg),   Curve:   -0.02 (rads/m)
Time: 1.43 (s),   Velocity: 3.27 (m/s),   Accel:  -3.00 (m/s/s),   X:  2.90 (m),   Y:  2.33 (m),   Rot: -0.9090 (rads),   Rot:  -52.08 (deg),   Curve:    0.00 (rads/m)
