Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 0.89 (s),   Velocity: 2.67 (m/s),   Accel:   3.00 (m/s/s),   X:  1.56 (m),   Y:  1.48 (m),   Rot: -0.0697 (rads),   Rot:   -3.99 (deg),   Curve:   -0.03 (rads/m)
Time: 0.92 (s),   Velocity: 2.75 (m/s),   Accel:   3.00 (m/s/s),   X:  1.64 (m),   Y:  1.47 (m),   Rot: -0.0718 (rads),   Rot:   -4.12 (deg),   Curve:   -0.03 (rads/m)
Time: 0.95 (s),   Velocity: 2.84 (m/s),   Accel:   3.00 (m/s/s),   X:  1.72 (m),   Y:  1.47 (m),   Rot: -0.0737 (rads),   Rot:   -4.22 (deg),   Curve:   -0.02 (rads/m)
Time: 0.97 (s),   Velocity: 2.92 (m/s),   Accel:   3.00 (m/s/s),   X:  1.80 (m),   Y:  1.46 (m),   Rot: -0.0753 (rads),   Rot:   -4.32 (deg),   Curve:   -0.02 (rads/m)
Time: 1.00 (s),   Velocity: 3.00 (m/s),   Accel:   3.00 (m/s/s),   X:  1.87 (m),   Y:  1.45 (m),   Rot: -0.0766 (rads),   Rot:   -4.39 (deg),   Curve:   -0.01 (rads/m)
Time: 1.02 (s),   Velocity: 3.07 (m/s),   Accel:   3.00 (m/s/s),   X:  1.95 (m),   Y:  1.45 (m),   Rot: -0.0776 (rads),   Rot:   -4.45 (deg),   Curve:   -0.01 (rads/m)
Time: 1.05 (s),   Velocity: 3.15 (m/s),   Accel:   3.00 (m/s/s),   X:  2.03 (m),   Y:  1.44 (m),   Rot: -0.0783 (rads),   Rot:   -4.49 (deg),   Curve:   -0.01 (rads/m)
Time: 1.07 (s),   Velocity: 3.22 (m/s),   Accel:   3.00 (m/s/s),   X:  2.10 (m),   Y:  1.44 (m),   Rot: -0.0787 (rads),   Rot:   -4.51 (deg),   Curve:   -0.00 (rads/m)
Time: 1.10 (s),   Velocity: 3.29 (m/s),   Accel:   3.00 (m/s/s),   X:  2.18 (m),   Y:  1.43 (m),   Rot: -0.0788 (rads),   Rot:   -4.51 (deg),   Curve:    0.00 (rads/m)
Time: 1.12 (s),   Velocity: 3.36 (m/s),   Accel:   3.00 (m/s/s),   X:  2.26 (m),   Y:  1.43 (m),   Rot: -0.0785 (rads),   Rot:   -4.50 (deg),   Curve:    0.01 (rads/m)
